iter	MultiClass
0	1.069827492
1	1.040104841
2	1.016151979
3	0.9912017269
4	0.9717085222
5	0.9469458507
6	0.9243021735
7	0.9026435542
8	0.8851489142
9	0.8657207973
10	0.8505806663
11	0.8386772788
12	0.8236034958
13	0.8117893153
14	0.7954783311
15	0.780072547
16	0.7650925977
17	0.7512935273
18	0.7378913051
19	0.730854167
20	0.716187905
21	0.7040011601
22	0.6926868817
23	0.6819467125
24	0.6728784609
25	0.6610297785
26	0.6536572547
27	0.6452619053
28	0.6361325333
29	0.6254084723
30	0.6184461734
31	0.6112720355
32	0.6037935112
33	0.5967362733
34	0.5884264339
35	0.5829455079
36	0.5762616018
37	0.5710687737
38	0.5669945692
39	0.559001694
40	0.5522466792
41	0.5450177682
42	0.5374969418
43	0.5315046184
44	0.5263245811
45	0.5203678419
46	0.5151720419
47	0.5103548266
48	0.5038343281
49	0.4959237298
50	0.4885645988
51	0.4831635023
52	0.4783420281
53	0.472207795
54	0.4654299989
55	0.4619297117
56	0.4564347093
57	0.4502470836
58	0.4463421676
59	0.4408758196
60	0.4369936275
61	0.4315365006
62	0.4273304009
63	0.423255117
64	0.4205002099
65	0.4155946757
66	0.4107486134
67	0.4082565119
68	0.4048863232
69	0.4009191309
70	0.3974881367
71	0.3946179325
72	0.3905699065
73	0.3859935998
74	0.3815686018
75	0.379117497
76	0.3769564034
77	0.372681488
78	0.3695029044
79	0.3658723802
80	0.3636603618
81	0.3605925511
82	0.3576298479
83	0.3543627684
84	0.3516768673
85	0.348401001
86	0.3443861972
87	0.3413105495
88	0.3381443167
89	0.3347170153
90	0.3299394442
91	0.325765
92	0.3227882309
93	0.3203974384
94	0.3167152635
95	0.313577006
96	0.3106012886
97	0.307821516
98	0.3040588933
99	0.3017307415
100	0.2992690404
101	0.2957233921
102	0.2932635273
103	0.2899444343
104	0.2870775576
105	0.2845002128
106	0.2819896388
107	0.2792384142
108	0.2770225023
109	0.2749331786
110	0.272426576
111	0.2698164261
112	0.2679052865
113	0.2652453693
114	0.2631833639
115	0.2605774228
116	0.2595070478
117	0.2569625729
118	0.2548316316
119	0.2524232699
120	0.2505791207
121	0.2489782187
122	0.2468235114
123	0.2452120971
124	0.2435619405
125	0.241282873
126	0.2396965344
127	0.2385700933
128	0.2370800051
129	0.2349849451
130	0.232956212
131	0.2312136703
132	0.2297018952
133	0.2283648651
134	0.226621085
135	0.2243878977
136	0.2226400429
137	0.2205052623
138	0.2192524509
139	0.217895572
140	0.2164256335
141	0.2151849784
142	0.2139273271
143	0.2124369393
144	0.2118741809
145	0.2102626699
146	0.2080203118
147	0.2067912514
148	0.2063313898
149	0.2053357316
150	0.2043620092
151	0.202967255
152	0.2021535336
153	0.20098441
154	0.1994645369
155	0.1984781876
156	0.1971468663
157	0.196141912
158	0.1944695319
159	0.1928437777
160	0.1917479816
161	0.190324304
162	0.1885881406
163	0.1874441899
164	0.1862973024
165	0.1850919766
166	0.1837986796
167	0.1830486296
168	0.1823739731
169	0.1814635285
170	0.1806667973
171	0.1793236607
172	0.1783059222
173	0.1774942965
174	0.1764579658
175	0.1751555444
176	0.1745174883
177	0.1738166475
178	0.173467896
179	0.1721235331
180	0.1713976902
181	0.1703242251
182	0.1691899879
183	0.1677837926
184	0.1671329856
185	0.1655149009
186	0.1645269321
187	0.1636100499
188	0.1625391317
189	0.1614111375
190	0.1602604645
191	0.1596774802
192	0.1592513408
193	0.1584324721
194	0.157587068
195	0.1568788044
196	0.1557691571
197	0.1551334879
198	0.1542051207
199	0.1531490859
200	0.1521477709
201	0.1511326398
202	0.1506356865
203	0.1499747518
204	0.1494241897
205	0.1488834938
206	0.1479130925
207	0.1468952803
208	0.1463428911
209	0.1454582987
210	0.1447690737
