iter	Passed	Remaining
428	5192	6910
429	5199	6892
430	5208	6875
431	5215	6856
432	5223	6840
433	5230	6821
434	5238	6804
435	5245	6785
436	5252	6766
437	5260	6749
438	5266	6729
439	5275	6714
440	5281	6695
441	5290	6678
442	5297	6660
443	5306	6645
444	5313	6626
445	5320	6609
446	5326	6590
447	5337	6576
448	5344	6558
449	5353	6543
450	5359	6524
451	5369	6509
452	5375	6491
453	5383	6474
454	5391	6457
455	5401	6443
456	5408	6425
457	5417	6410
458	5423	6392
459	5432	6377
460	5439	6360
461	5449	6345
462	5455	6327
463	5463	6311
464	5471	6295
465	5479	6279
466	5556	6341
467	5564	6325
468	5572	6308
469	5581	6293
470	5589	6277
471	5600	6264
472	5609	6249
473	5617	6234
474	5632	6225
475	5646	6215
476	5654	6199
477	5665	6186
478	5674	6172
479	5683	6157
480	5697	6147
481	5709	6136
482	5717	6119
483	5727	6105
484	5734	6089
485	5745	6076
486	5755	6062
487	5764	6047
488	5775	6035
489	5783	6019
490	5794	6006
491	5801	5990
492	5811	5976
493	5819	5960
494	5826	5944
495	5834	5928
496	5842	5912
497	5848	5895
498	5857	5881
499	5864	5864
500	5876	5852
501	5884	5837
502	5891	5821
503	5898	5804
504	5906	5789
505	5912	5772
506	5946	5782
507	5954	5766
508	5963	5753
509	5971	5737
510	5982	5724
511	5989	5708
512	5997	5693
513	6008	5681
514	6017	5666
515	6029	5655
516	6039	5642
517	6048	5627
518	6061	5617
519	6069	5602
520	6078	5588
521	6089	5576
522	6097	5560
523	6104	5545
524	6111	5529
525	6123	5518
526	6130	5502
527	6139	5488
528	6145	5472
529	6155	5458
530	6162	5443
531	6172	5430
532	6180	5415
533	6287	5486
534	6301	5477
535	6319	5470
536	6353	5477
537	6362	5463
538	6376	5453
539	6406	5456
540	6420	5447
541	6427	5431
542	6437	5417
543	6446	5403
544	6454	5388
545	6463	5374
546	6473	5361
547	6485	5349
548	6493	5334
549	6503	5321
550	6618	5393
551	6626	5377
552	6634	5362
553	6642	5347
554	6650	5332
555	6661	5319
556	6672	5306
557	6681	5292
558	6693	5280
559	6700	5264
560	6707	5249
561	6717	5235
562	6727	5221
563	6736	5207
564	6748	5195
565	6758	5182
566	6769	5169
567	6784	5160
568	6794	5146
569	6802	5131
570	6884	5172
571	6892	5157
572	6899	5141
573	6907	5126
574	6915	5111
575	6923	5096
576	6931	5081
577	6943	5069
578	7000	5089
579	7017	5081
580	7038	5075
581	7058	5069
582	7109	5085
583	7122	5073
584	7138	5064
585	7160	5059
586	7168	5043
587	7174	5027
588	7182	5011
589	7190	4996
590	7196	4980
591	7205	4965
592	7211	4949
593	7219	4934
594	7226	4918
595	7235	4904
596	7241	4888
597	7249	4873
598	7256	4857
599	7266	4844
600	7272	4828
601	7281	4813
602	7287	4797
603	7296	4783
604	7303	4768
605	7311	4753
606	7318	4738
607	7327	4724
608	7334	4708
609	7341	4693
610	7348	4678
611	7353	4662
612	7364	4649
613	7397	4650
614	7472	4678
615	7481	4663
616	7489	4649
617	7504	4638
618	7513	4624
619	7523	4611
620	7532	4597
621	7539	4582
622	7553	4570
623	7561	4555
624	7572	4543
625	7580	4529
626	7590	4515
627	7600	4502
628	7609	4488
629	7619	4474
630	7626	4460
631	7637	4447
632	7646	4433
633	7657	4420
634	7666	4406
635	7673	4391
636	7682	4378
637	7689	4363
638	7697	4348
639	7705	4334
640	7715	4320
641	7721	4305
642	7730	4291
643	7736	4276
644	7747	4263
645	7753	4248
646	7763	4235
647	7769	4220
648	7780	4207
649	7786	4192
650	7794	4178
651	7801	4163
652	7809	4150
653	7817	4135
654	7826	4122
655	7832	4107
656	7841	4093
657	7848	4079
658	7923	4100
659	7931	4085
660	7942	4073
661	7949	4058
662	7956	4044
663	7963	4029
664	7971	4015
665	7978	4001
666	7994	3991
667	8004	3978
668	8007	3961
669	8017	3948
670	8026	3935
671	8116	3961
672	8132	3951
673	8171	3952
674	8178	3937
675	8209	3934
676	8218	3921
677	8225	3906
678	8234	3892
679	8241	3878
680	8251	3865
681	8257	3850
682	8266	3836
683	8273	3822
684	8280	3807
685	8287	3793
686	8294	3779
687	8303	3765
688	8311	3751
689	8319	3737
690	8325	3722
691	8335	3710
692	8341	3695
693	8350	3682
694	8357	3667
695	8367	3654
696	8377	3641
697	8385	3628
698	8396	3615
699	8403	3601
700	8414	3589
701	8422	3575
702	8432	3562
703	8444	3550
704	8451	3536
705	8461	3523
706	8470	3510
707	8483	3498
708	8494	3486
709	8501	3472
710	8511	3459
711	8518	3445
712	8526	3431
713	8533	3418
714	8545	3406
715	8553	3392
716	8560	3378
717	8565	3364
718	8575	3351
719	8582	3337
720	8590	3324
721	8597	3310
722	8607	3297
723	8614	3283
724	8623	3270
725	8630	3257
726	8640	3244
727	8646	3230
728	8656	3217
729	8663	3204
730	8671	3190
731	8677	3177
732	8685	3163
733	8692	3150
734	8703	3138
735	8710	3124
736	8718	3111
737	8725	3097
738	8734	3084
739	8740	3071
740	8749	3058
741	8755	3044
742	8762	3030
743	8768	3017
744	8773	3003
745	8780	2989
746	8787	2976
747	8793	2962
748	8799	2948
749	8805	2935
750	8812	2921
751	8818	2908
752	8826	2895
753	8834	2882
754	8842	2869
755	8849	2856
756	8857	2843
757	8864	2830
758	8872	2817
759	8881	2804
760	8887	2791
761	8894	2778
762	8901	2765
763	8909	2752
764	8916	2738
765	8922	2725
766	8930	2712
767	8938	2700
768	8945	2687
769	8953	2674
770	8960	2661
771	8968	2648
772	8975	2635
773	8982	2622
774	8990	2610
775	8995	2596
776	9002	2583
777	9009	2570
778	9014	2557
779	9044	2550
780	9053	2538
781	9061	2526
782	9071	2514
783	9078	2501
784	9085	2488
785	9093	2475
786	9102	2463
787	9109	2450
788	9117	2438
789	9125	2425
790	9134	2413
791	9142	2401
792	9154	2389
793	9167	2378
794	9183	2367
795	9206	2359
796	9224	2349
797	9238	2338
798	9251	2327
799	9270	2317
800	9283	2306
801	9299	2295
802	9311	2284
803	9321	2272
804	9333	2260
805	9340	2248
806	9347	2235
807	9356	2223
808	9366	2211
809	9375	2199
810	9382	2186
811	9393	2174
812	9400	2162
813	9411	2150
814	9418	2137
815	9431	2126
816	9440	2114
817	9447	2102
818	9459	2090
819	9466	2077
820	9479	2066
821	9489	2054
822	9500	2043
823	9514	2032
824	9528	2021
825	9537	2009
826	9544	1996
827	9554	1984
828	9562	1972
829	9572	1960
830	9579	1948
831	9588	1936
832	9596	1923
833	9604	1911
834	9612	1899
835	9623	1887
836	9633	1876
837	9640	1863
838	9646	1851
839	9657	1839
840	9667	1827
841	9674	1815
842	9683	1803
843	9691	1791
844	9701	1779
845	9708	1767
846	9717	1755
847	9725	1743
848	9735	1731
849	9742	1719
850	9755	1707
851	9767	1696
852	9773	1684
853	9782	1672
854	9789	1660
855	9798	1648
856	9804	1636
857	9812	1623
858	9819	1611
859	9825	1599
860	9833	1587
861	9839	1575
862	9846	1563
863	9853	1550
864	9861	1539
865	9868	1527
866	9877	1515
867	9884	1503
868	9893	1491
869	9900	1479
870	9909	1467
871	9917	1455
872	9926	1444
873	9932	1431
874	9941	1420
875	9947	1408
876	9957	1396
877	9963	1384
878	9972	1372
879	9979	1360
880	9989	1349
881	9996	1337
882	9998	1324
883	10005	1312
884	10013	1301
885	10023	1289
886	10028	1277
887	10036	1265
888	10044	1254
889	10054	1242
890	10089	1234
891	10169	1231
892	10177	1219
893	10185	1207
894	10193	1195
895	10203	1184
896	10215	1172
897	10222	1161
898	10231	1149
899	10239	1137
900	10250	1126
901	10257	1114
902	10265	1102
903	10276	1091
904	10284	1079
905	10294	1068
906	10303	1056
907	10312	1044
908	10323	1033
909	10331	1021
910	10391	1015
911	10406	1004
912	10427	993
913	10446	982
914	10457	971
915	10486	961
916	10492	949
917	10506	938
918	10513	926
919	10520	914
920	10528	903
921	10539	891
922	10548	879
923	10557	868
924	10572	857
925	10580	845
926	10588	833
927	10600	822
928	10606	810
929	10615	798
930	10622	787
931	10630	775
932	10636	763
933	10644	752
934	10651	740
935	10658	728
936	10665	717
937	10671	705
938	10679	693
939	10685	682
940	10693	670
941	10700	658
942	10707	647
943	10714	635
944	10720	623
945	10730	612
946	10736	600
947	10745	589
948	10750	577
949	10760	566
950	10766	554
951	10774	543
952	10782	531
953	10790	520
954	10797	508
955	10806	497
956	10814	485
957	10822	474
958	10830	463
959	10837	451
960	10844	440
961	10852	428
962	10859	417
963	10865	405
964	10872	394
965	10880	382
966	10887	371
967	10893	360
968	10900	348
969	10907	337
970	10914	325
971	10922	314
972	10928	303
973	10936	291
974	10942	280
975	10951	269
976	10957	257
977	10964	246
978	10972	235
979	10980	224
980	10987	212
981	10994	201
982	11001	190
983	11007	178
984	11012	167
985	11018	156
986	11023	145
987	11030	133
988	11037	122
989	11043	111
990	11049	100
991	11055	89
992	11061	77
993	11068	66
994	11074	55
995	11080	44
996	11085	33
997	11092	22
998	11099	11
999	11106	0
